offer_id,trade,supplier,date,valid_until,net,vat_rate,gross,status,final,party_assignment,score,included,excluded,document_id,comment
OFF-RESCH-20260522,Kueche,Resch Möbel GmbH,2026-05-22,2026-06-21,22442,22,27378,Angebot erhalten,FALSE,W2,82,"Lieferung, Montage","Maurer, Hydrauliker, Elektriker, nicht explizit angebotene Arbeiten",DOC-KUE-RESCH,"Keramik Arbeitsplatte, NEFF/Bora laut Angebot"
OFF-STAMPFL-20260320,Kueche,Stampfl Küche & Wohnen,2026-03-20,2026-04-19,25900,22,31598,Angebot erhalten,FALSE,W2,78,"Lieferung, Montage, Massabnahme, Detailplaene, Installationsplaene","MwSt, Wasseranschluss, Wasserhahn, Beleuchtung, evtl. Gipskarton",DOC-KUE-STAMPFL,"Quarzit, Miele, Bora PURA2"
OFF-KLEMENT-20260312,Architektur,Klement Architects,2026-03-12,,36000,22,45676.80,beauftragt,TRUE,gemeinsam,90,"Planung, Einreichung, Ausfuehrung, Ausschreibung, Bauleitung, Abnahme laut Auftrag","Statik, SiGeKo, Klimahaus, ENEA, Haustechnikplanung",DOC-ARCH-001,Skontiertes Honorar inkl. Nebenkosten + 4% Gesundheitssteuer + MwSt
OFF-PSP-20260316,Steuerberatung,PSP STP GmbH,2026-03-16,2026-04-05,800,22,976,teilweise genutzt,FALSE,projekt,70,"Beratung, Mindesthonorar 800 EUR","2% Erfolgs-/Zusatzhonorar, Steuererklaerung 500 EUR, Leihvertrag 210 EUR",DOC-PSP-001,"erste Rechnung 253,76 EUR laut Notiz bezahlt"
